gladiolus,1925: an Old World plant of the iris family, with sword-shaped leaves and spikes of brightly colored flowers, popular in gardens and as a cut flower.
cerise,1926: a bright or deep red color.
luxuriance,1927:  yielding abundantly : fertile, fruitful
albumen,1928: egg white, or the protein contained in it.
asceticism,1929: severe self-discipline and avoidance of all forms of indulgence, typically for religious reasons
fracas,1930: a noisy disturbance or quarrel
foulard,1931: a thin, soft material of silk or silk and cotton, typically having a printed pattern
knack,1932: an acquired or natural skill at performing a task
torsion,1933: the action of twisting or the state of being twisted, especially of one end of an object relative to the other
deteriorating,1934: become progressively worse.
intelligible,1935: able to be understood; comprehensible.
interning,1936: confine (someone) as a prisoner, especially for political or military reasons
promiscuous,1937: demonstrating or implying an undiscriminating or unselective approach; indiscriminate or casual;having or characterized by many transient sexual relationships
sanitarium,1938: an establishment for the medical treatment of people who are convalescing or have a chronic illness
canonical,1939: included in the list of sacred books officially accepted as genuine
therapy,1940: treatment intended to relieve or heal a disorder
initials,1941: the first letter of a name or word, typically a person's name or a word forming part of a phrase
sacrilegious,1942: involving or committing sacrilege
semaphore,1946: a system of sending messages by holding the arms or two flags or poles in certain positions according to an alphabetic code
chlorophyll,1947: a green pigment, present in all green plants and in cyanobacteria, responsible for the absorption of light to provide energy for photosynthesis. Its molecule contains a magnesium atom held in a porphyrin ring
psychiatry,1948: the study and treatment of mental illness, emotional disturbance, and abnormal behavior.
dulcimer,1949: a musical instrument with a sounding board or box, typically trapezoidal in shape, over which strings of graduated length are stretched, played by being struck with handheld hammers
meticulosity,1950: taking or showing extreme care about minute details; precise; thorough
insouciant,1951: showing a casual lack of concern; indifferent.
vignette,1952: a brief evocative description, account, or episode
soubrette,1953: an actress or other female performer playing a lively, flirtatious role in a play or opera
transept,1954: (in a cross-shaped church) either of the two parts forming the arms of the cross shape, projecting at right angles from the nave
crustaceology,1955: the branch of zoology that studies crustaceans
condominium,1956: a building or complex of buildings containing a number of individually owned apartments or houses
schappe,1957: a yarn or fabric of spun silk; also : an imitation of it (as in rayon or nylon)
syllepsis,1958: a figure of speech in which a word is applied to two others in different senses (e.g., caught the train and a bad cold ) or to two others of which it grammatically suits only one (e.g., neither they nor it is working )
catamaran,1959: a yacht or other boat with twin hulls in parallel.
eudaemonic,1960: conductive to happiness
smaragdine,1961: of or relating to emeralds
esquamulose,1962: Not covered in scales or scale-like objects; having a smooth skin
